                                           INSTITUCION EDUCATIVA TP
                                     DETALLE DE PAGOS REALIZADO POR CICLO
                                                   CICLO: 2023-1
===============================================================================================================
ALUMNO  No. DE Cursos  CREDITOS  ESCALA  MONTO PAGADO
20193573 - ASMAD ASMAD ANNIE OFELIA                0              0.00      A         0.00
20196536 - BENAVENTE BENAVENTE VIRGINIA IRMA       0              0.00      B         0.00
20219566 - MEDINA MEDINA MILENA JENNY              0              0.00      C         0.00
20202756 - PRADO PRADO EDGAR RICHARD               0              0.00      D         0.00
20239652 - INGA INGA CESAR ADOLFO                  0              0.00      E         0.00
20198069 - AMEZQUITA AMEZQUITA EVERT ROBERTO       0              0.00      E         0.00
20238246 - RUIZ RUIZ CAROLA ERIKA                  0              0.00      C         0.00
20194050 - CORRALES CORRALES IRMA LOURDES          0              0.00      A         0.00
20195340 - CERNA CERNA MARTIN                      0              0.00      D         0.00
20193012 - DELACUBA PAIRAZAMAN ALBERTO             0              0.00      C         0.00
20196245 - VEGA VEGA GONZALO                       0              0.00      D         0.00
20193769 - NORABUENA NORABUENA CINTHIA             0              0.00      B         0.00
20221316 - RAFFO RAFFO ADRIA GLORIA                0              0.00      A         0.00
20237059 - CALDERON CALDERON GUILLERMO             0              0.00      D         0.00
20233583 - PALOMARES PALOMARES HENRRY HUMBERTO     0              0.00      B         0.00
20195244 - CORTEZ CORTEZ CARMELA INES              0              0.00      A         0.00
20197155 - JUSTINO JUSTINO WILLIAMS                0              0.00      A         0.00
20197480 - CERNA CERNA JOSE ROLANDO                0              0.00      A         0.00
20205844 - VILLA VILLA TATIANA NANCY               0              0.00      A         0.00
20233816 - VALVERDE VALVERDE RONY GONZALO          0              0.00      E         0.00
20221873 - HENRIQUEZ HENRIQUEZ ALEX                0              0.00      B         0.00
20197378 - VILLEGAS VILLEGAS DORIS FREYSA          0              0.00      B         0.00
20205864 - MALDONADO MALDONADO JOHANA              0              0.00      D         0.00
20207053 - LOZADA LOZADA MARTHA                    0              0.00      C         0.00
20198845 - LANDEO LANDEO ADOLFO                    0              0.00      E         0.00
20216298 - MALDONADO MALDONADO SILVANA             0              0.00      E         0.00
20227724 - CORONEL CORONEL HELI                    0              0.00      D         0.00
20227341 - DIAZ DIAZ MAGALI SILVANA                0              0.00      D         0.00
20226455 - HENRIQUEZ HENRIQUEZ BEATRIZ             0              0.00      B         0.00
20198237 - CASTRO CASTRO ROLANDO                   0              0.00      C         0.00
20236453 - ARCA ARCA EDRIC RONALD                  0              0.00      B         0.00
20198922 - PAIRAZAMAN PAIRAZAMAN MOISES MIGUEL     0              0.00      E         0.00
20229272 - CRUZ CRUZ JOHANA YDALI                  0              0.00      E         0.00
20212697 - RETAMOSO RETAMOSO OSCAR                 0              0.00      C         0.00
20191754 - MOYA MOYA JOHNNY                        0              0.00      D         0.00
20236102 - SALAS SALAS DANIEL                      0              0.00      B         0.00
20224223 - PASQUEL PASQUEL SURAMI JANET            0              0.00      E         0.00
20236905 - LAURA LAURA MELVIN HENRRY               0              0.00      A         0.00
20193490 - CORONADO CORONADO JOHAN                 0              0.00      C         0.00
20197557 - CARO CARO SANDRO                        0              0.00      D         0.00
20198608 - GORDILLO GORDILLO YVONNE ROSARIO        0              0.00      B         0.00
20229400 - DELGADO DELGADO GUILLERMO ALFONSO       0              0.00      A         0.00
20218679 - AURIS AURIS JAVIER DANIEL               0              0.00      D         0.00
20208971 - SUAREZ SUAREZ RAFAEL                    0              0.00      C         0.00
20207741 - CABRERA CABRERA GUILLERMO EDRIC         0              0.00      E         0.00
20193891 - CAMACHO CAMACHO ELIA ROSA               0              0.00      D         0.00
20208175 - HIJAR HIJAR WILLIAMS CHRISTIAN          0              0.00      A         0.00
20225162 - PISCOYA PISCOYA CESAR BRUNO             0              0.00      C         0.00
20198434 - CHAVEZ CHAVEZ SILVANA                   0              0.00      D         0.00
---------------------------------------------------------------------------------------------------------------
